Documento	Id
The Pixies are an American alternative rock band formed in Boston ; Massachusetts ; in 1986 .	1
Queens of the Stone Age is an American rock band formed in Seattle in 1996	2
The Beatles were an English rock band formed in Liverpool in 1960 .	3
The Rolling Stones are an English rock band formed in London in 1962 .	4
Led Zeppelin were an English rock band formed in London in 1968 .	5
Metallica is an American heavy metal band . It was formed in Los Angeles in 1981	6
The Police were an English rock band formed in London in 1977 .	7
The Offspring is an American rock band formed in Garden Grove ; California ; in 1984 .	8
Weezer is an American rock band formed in Los Angeles ; California ; in 1992 .	9
Lacuna Coil is an Italian heavy metal band from Milan .	10
Queen are a British rock band formed in London in 1970 .	11
Black Sabbath were an English heavy metal band formed in Birmingham in 1968	12
The Doors were an American rock band formed in Los Angeles in 1965	13
Pink Floyd are an English rock band formed in London in 1965	14
The Smashing Pumpkins is an American alternative rock band formed in Chicago in 1988	15
Alice in Chains is an American rock band formed in Seattle in 1987	16
Linkin Park is an American rock band formed in Agoura Hills ; California ; in 1996 .	17
The Foo Fighters are an American rock band formed in Seattle in 1994 .	18
The Cardigans are a Swedish rock band formed in Jönköping ; Sweden in 1992 .	19
Pearl Jam is an American rock band formed in Seattle ; Washington ; in 1990 .	20
Type O Negative was an American gothic doom metal band from Brooklyn ; New York ; formed in 1989 .	21
Stone Temple Pilots are an American rock band formed in San Diego ; California ; in 1989 .	22
Silverchair were an Australian rock band ; which formed in 1992 in Newcastle ; New South Wales	23
The Cure are an English rock band formed in Crawley in 1976	24
The Smiths were an English rock band formed in Manchester in 1982	25
MGMT is an American rock band formed in 2002 in Middletown ; Connecticut	26
Megadeth is an American heavy metal band formed in Los Angeles in 1983	27
Joy Division were an English rock band formed in Salford in 1976 .	28
Soundgarden was an American rock band formed in Seattle ; Washington ; in 1984	29
System of a Down is an Armenian-American heavy metal band formed in Glendale ; California ; in 1994	30
